well,total_files,data_categories_present
15/9-F-15,1109,7.0
15/9-F-12,1001,9.0
15/9-F-14,879,8.0
15/9-F-1,839,6.0
15/9-F-4,712,7.0
15/9-F-11,606,6.0
15/9-F-5,570,7.0
15/9-F-10,428,7.0
15/9-F-11 T,396,4.0
15/9-F-1 C,308,4.0
15/9-F-11 B,270,4.0
15/9-F-9,269,7.0
15/9-F-15 A,258,5.0
15/9-F-1 B,218,3.0
15/9-F-7,202,7.0
15/9-F-15 C,184,4.0
15/9-F-11 A,158,4.0
15/9-F-15 D,153,4.0
15/9-F-1 A,140,3.0
15/9-F-15 B,102,4.0
15/9-F-9 A,76,4.0
15/9-F-15A,42,3.0
15/9-F-13,11,2.0
15/9-F-2,10,2.0
15/9-F-3,7,2.0
15/9-F-8,6,2.0
15/9-F-11T,1,
15/9-F-6,1,2.0
